met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year,significant_rain,days_since_rain,rain_category
2009-10-02,0.0,0.0,0.0,0.0,16,2009,False,12.0,8-14 days
2009-10-03,0.0,0.0,0.0,0.0,16,2009,False,13.0,8-14 days
2009-10-04,0.588,2.0,0.0,0.666,16,2009,False,14.0,8-14 days
2009-10-05,0.988,3.4,0.0,1.036,16,2009,False,15.0,15+ days
2009-10-06,5.438,9.8,3.3,1.588,16,2009,True,0.0,0-2 days
2009-10-07,2.956,8.2,0.4,2.696,16,2009,True,0.0,0-2 days
2009-10-08,11.25,14.7,6.7,2.704,16,2009,True,0.0,0-2 days
2009-10-09,0.006,0.1,0.0,0.025,16,2009,False,1.0,0-2 days
2009-10-10,2.431,4.0,1.2,0.784,16,2009,True,0.0,0-2 days
2009-10-11,0.05,0.2,0.0,0.082,16,2009,False,1.0,0-2 days
2009-10-12,0.25,1.4,0.0,0.381,16,2009,False,2.0,0-2 days
2009-10-13,0.069,0.4,0.0,0.14,16,2009,False,3.0,3-7 days
2009-10-14,0.275,1.1,0.0,0.249,16,2009,False,4.0,3-7 days
2009-10-15,0.0,0.0,0.0,0.0,16,2009,False,5.0,3-7 days
2009-10-16,0.05,0.2,0.0,0.089,16,2009,False,6.0,3-7 days
2009-10-17,0.0,0.0,0.0,0.0,16,2009,False,7.0,3-7 days
2009-10-18,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-10-19,0.0,0.0,0.0,0.0,16,2009,False,9.0,8-14 days
2009-10-20,0.0,0.0,0.0,0.0,16,2009,False,10.0,8-14 days
2009-10-21,1.194,3.1,0.2,0.85,16,2009,True,0.0,0-2 days
2009-10-22,0.631,3.2,0.0,0.874,16,2009,False,1.0,0-2 days
2009-10-23,0.038,0.2,0.0,0.072,16,2009,False,2.0,0-2 days
2009-10-24,1.388,2.2,0.5,0.503,16,2009,True,0.0,0-2 days
2009-10-25,0.338,1.5,0.0,0.367,16,2009,False,1.0,0-2 days
2009-10-26,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-10-27,1.544,3.5,0.0,1.29,16,2009,True,0.0,0-2 days
2009-10-28,0.012,0.1,0.0,0.034,16,2009,False,1.0,0-2 days
2009-10-29,0.062,0.2,0.0,0.081,16,2009,False,2.0,0-2 days
2009-10-30,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-10-31,1.9,5.3,0.6,1.521,16,2009,True,0.0,0-2 days
2009-11-01,2.019,4.8,0.0,1.36,16,2009,True,0.0,0-2 days
2009-11-02,10.441,18.2,7.4,2.545,17,2009,True,0.0,0-2 days
2009-11-03,2.859,5.0,1.4,1.286,17,2009,True,0.0,0-2 days
2009-11-04,3.7,7.2,2.4,1.164,17,2009,True,0.0,0-2 days
2009-11-05,0.547,1.1,0.1,0.283,17,2009,False,1.0,0-2 days
2009-11-06,0.171,0.5,0.0,0.186,17,2009,False,2.0,0-2 days
2009-11-07,5.347,8.4,3.2,1.491,17,2009,True,0.0,0-2 days
2009-11-08,1.476,4.0,0.4,0.891,17,2009,True,0.0,0-2 days
2009-11-09,0.047,0.2,0.0,0.072,17,2009,False,1.0,0-2 days
2009-11-10,0.047,0.4,0.0,0.118,17,2009,False,2.0,0-2 days
2009-11-11,0.465,2.0,0.1,0.426,17,2009,False,3.0,3-7 days
2009-11-12,1.682,2.6,1.0,0.441,17,2009,True,0.0,0-2 days
2009-11-13,12.994,21.5,9.4,2.681,17,2009,True,0.0,0-2 days
2009-11-14,17.035,25.3,9.3,4.402,17,2009,True,0.0,0-2 days
2009-11-15,16.147,24.9,7.7,6.031,17,2009,True,0.0,0-2 days
2009-11-16,5.641,10.5,2.0,1.709,17,2009,True,0.0,0-2 days
2009-11-17,0.318,1.7,0.0,0.526,17,2009,False,1.0,0-2 days
2009-11-18,0.318,3.3,0.0,0.805,17,2009,False,2.0,0-2 days
2009-11-19,0.053,0.5,0.0,0.133,17,2009,False,3.0,3-7 days
2009-11-20,1.265,2.9,0.0,0.678,17,2009,True,0.0,0-2 days
2009-11-21,0.8,2.2,0.0,0.526,17,2009,False,1.0,0-2 days
2009-11-22,11.047,18.2,6.8,3.149,17,2009,True,0.0,0-2 days
2009-11-23,7.218,9.8,4.0,1.654,17,2009,True,0.0,0-2 days
2009-11-24,2.288,6.0,0.5,1.809,17,2009,True,0.0,0-2 days
2009-11-25,4.241,9.6,1.6,2.448,17,2009,True,0.0,0-2 days
2009-11-26,1.124,3.0,0.2,0.805,17,2009,True,0.0,0-2 days
2009-11-27,0.159,1.2,0.0,0.347,17,2009,False,1.0,0-2 days
2009-11-28,3.7,6.9,2.5,0.996,17,2009,True,0.0,0-2 days
2009-11-29,15.282,21.9,10.0,3.221,17,2009,True,0.0,0-2 days
2009-11-30,23.888,29.5,15.0,4.451,17,2009,True,0.0,0-2 days
2009-12-01,0.635,3.6,0.0,0.869,17,2009,False,1.0,0-2 days
2009-12-02,2.494,7.5,0.7,2.061,16,2009,True,0.0,0-2 days
2009-12-03,11.6,21.2,7.2,3.61,16,2009,True,0.0,0-2 days
2009-12-04,0.994,2.2,0.2,0.499,16,2009,False,1.0,0-2 days
2009-12-05,3.9,6.1,2.8,0.806,16,2009,True,0.0,0-2 days
2009-12-06,9.506,16.3,5.8,2.679,16,2009,True,0.0,0-2 days
2009-12-07,1.612,3.0,0.8,0.754,16,2009,True,0.0,0-2 days
2009-12-08,3.3,5.6,0.5,1.221,16,2009,True,0.0,0-2 days
2009-12-09,1.594,2.9,0.6,0.637,16,2009,True,0.0,0-2 days
2009-12-10,0.3,0.7,0.0,0.19,16,2009,False,1.0,0-2 days
2009-12-11,0.038,0.2,0.0,0.072,16,2009,False,2.0,0-2 days
2009-12-12,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
