met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2011-12-21,2.065,2.4,1.8,0.173,20,2011
2011-12-22,0.08,0.3,0.0,0.106,20,2011
2011-12-23,0.005,0.1,0.0,0.022,20,2011
2011-12-24,4.445,6.3,2.8,1.066,20,2011
2011-12-25,0.22,0.5,0.0,0.154,20,2011
2011-12-26,0.01,0.1,0.0,0.031,20,2011
2011-12-27,0.025,0.4,0.0,0.091,20,2011
2011-12-28,0.05,0.4,0.0,0.11,20,2011
2011-12-29,0.0,0.0,0.0,0.0,20,2011
2011-12-30,2.77,5.2,1.6,0.904,20,2011
2011-12-31,4.675,6.9,3.8,0.615,20,2011
